City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Nagothana,IN,83.44,overcast clouds,18.5333,73.1333,Kamath Residency Nature Resort And Restaurant.
571,Mao,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
574,Lanzhou,CN,82.0,broken clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
578,Odweyne,SO,72.55,overcast clouds,9.4092,45.064,Eng Hiirey House
579,Tsuruoka,JP,71.64,broken clouds,38.7217,139.8217,Hotel Route-Inn Tsuruoka Inter
580,State College,US,74.8,broken clouds,40.7934,-77.86,Hampton Inn State College
582,Cabedelo,BR,74.07,few clouds,-6.9811,-34.8339,Pousada Camboinha
583,Tateyama,JP,76.1,heavy intensity rain,34.9833,139.8667,Tateyama Seaside Hotel
584,Kupang,ID,86.45,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
585,Malakal,SS,76.78,light rain,9.5334,31.6605,Nile Palace Hotel
586,Mushie,CD,70.56,light rain,-3.0167,16.9,
588,Perbaungan,ID,77.11,light rain,3.5679,98.956,Bendang Lama
589,Roma,US,73.72,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
590,Hovd,MN,70.95,overcast clouds,48.0056,91.6419,Hotel Khovd
594,Udala,ES,70.68,overcast clouds,43.0778,-2.5125,Hotel Arrasate
598,Mecca,SA,84.49,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
601,Maunabo,PR,80.42,overcast clouds,18.0072,-65.8993,Parador Maunacaribe
602,Galveston,US,85.96,clear sky,29.3669,-94.9669,Crystal Suites
604,Woodward,US,85.23,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
606,Zeya,RU,77.47,clear sky,53.75,127.2667,Kapital Inn
609,Kaohsiung,TW,87.89,scattered clouds,22.6163,120.3133,御宿商旅-中山館
610,Agadez,NE,84.24,overcast clouds,19.75,10.25,
612,Gushikawa,JP,81.99,light rain,26.3544,127.8686,Kirari Guest House
613,Gainesville,US,82.74,clear sky,29.6516,-82.3248,Wyndham Garden Gainesville
616,Awbari,LY,74.34,clear sky,26.5921,12.7805,فندق أوباري
618,Moundou,TD,70.18,light rain,8.5667,16.0833,Planete Life
619,Ocos,GT,78.98,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
625,Ormara,PK,83.35,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
627,Tadine,NC,77.88,moderate rain,-21.55,167.8833,
628,Tautira,PF,78.85,scattered clouds,-17.7333,-149.15,Pension Oaoa
629,Gizo,SB,85.05,few clouds,-8.103,156.8419,Imagination Island
630,Palompon,PH,86.94,scattered clouds,11.0508,124.3843,Claudio A. Chiong Bed & Bath
635,Goodings Grove,US,85.46,clear sky,41.6292,-87.9309,D-Lux Budget Inn
636,Gravina In Puglia,IT,73.54,scattered clouds,40.8197,16.4228,Hotel Alta Murgia
637,Metro,ID,77.95,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
643,Paracuru,BR,75.11,few clouds,-3.41,-39.0306,Hotel Vento Brasil
646,Pangai,TO,82.51,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
647,Manta,EC,71.38,broken clouds,-0.95,-80.7333,Balandra Hotel
649,Monopoli,IT,71.73,scattered clouds,40.9559,17.2896,Il Melograno
650,Hattiesburg,US,82.69,clear sky,31.3271,-89.2903,Quality Inn & Suites
651,Port-Gentil,GA,75.02,overcast clouds,-0.7193,8.7815,Fengshui Residence
654,Freeport,US,70.47,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
658,Wad Rawah,SD,87.96,scattered clouds,15.1603,33.1397,ود الترابي
659,Lalgudi,IN,80.92,mist,10.8667,78.8333,Tamash hotel
663,Filingue,NE,82.49,broken clouds,14.3521,3.3168,
667,Broome,US,71.85,mist,42.2506,-75.833,Chenango Valley State Park
669,Iberia,US,78.8,scattered clouds,29.9502,-91.7507,back to back rv park
671,Jensen Beach,US,84.02,clear sky,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
672,Gabu,GW,76.46,overcast clouds,12.2833,-14.2167,Hotel karsa
673,Maradi,NE,79.36,broken clouds,13.5,7.1017,Hôtel plaza
674,Manguito,CU,75.54,overcast clouds,22.5881,-80.9144,
678,Manggar,ID,82.13,moderate rain,-2.8833,108.2667,Guest Hotel
679,Samarai,PG,81.91,broken clouds,-10.6167,150.6667,Nuli Sapi
680,Ngama,TD,79.68,scattered clouds,11.7833,17.1667,
681,San Lazaro,BZ,73.58,overcast clouds,18.0387,-88.6622,
685,Biu,NG,70.14,overcast clouds,10.6129,12.1946,Emir's Palace
686,Batticaloa,LK,80.65,overcast clouds,7.7102,81.6924,Grand Star Guest House
687,Vershino-Darasunskiy,RU,77.05,broken clouds,52.35,115.5167,
690,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
692,Simbahan,PH,82.6,broken clouds,6.3032,120.5836,
693,Juneau,US,77.0,clear sky,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
694,Puerto Narino,CO,71.82,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
695,Tutoia,BR,77.04,overcast clouds,-2.7619,-42.2744,Pousada Guará's
696,Honiara,SB,86.9,clear sky,-9.4333,159.95,Heritage Park Hotel
