City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Nishihara,JP,26.1842,127.7558,82.06,89,100,16.11,overcast clouds
214,Pevek,RU,69.7008,170.3133,34.05,79,16,9.15,few clouds
215,Grand-Santi,GF,4.25,-54.3833,71.89,99,100,1.88,overcast clouds
216,Caravelas,BR,-17.7125,-39.2481,68.25,79,0,4.09,clear sky
217,Puerto Leguizamo,CO,-0.1934,-74.7819,70.83,92,16,2.24,few clouds
218,Aklavik,CA,68.2191,-135.0107,72.12,37,26,5.84,scattered clouds
219,Bom Jesus,BR,-9.0744,-44.3586,71.35,55,34,1.32,scattered clouds
220,Gimli,CA,50.6336,-96.9907,69.82,49,0,6.91,clear sky
221,Monrovia,LR,6.3005,-10.7969,76.32,91,100,12.33,moderate rain
222,Tete,MZ,-16.1564,33.5867,71.69,78,100,5.75,overcast clouds
223,Menongue,AO,-14.6585,17.691,48.78,67,27,3.0,scattered clouds
224,Camana,PE,-16.6228,-72.7111,61.29,83,97,10.67,overcast clouds
225,Marzuq,YE,14.4,46.4667,79.27,32,94,5.46,overcast clouds
226,Saint George,US,37.1041,-113.5841,100.99,6,0,11.5,clear sky
227,Kamenka,RU,51.3223,42.7678,56.21,90,2,6.62,clear sky
228,Tortoli,IT,39.9256,9.6572,71.42,94,0,11.5,clear sky
229,Panama City,PA,8.9936,-79.5197,82.92,83,40,3.44,scattered clouds
230,Havelock,US,34.8791,-76.9013,80.55,82,0,9.22,clear sky
231,Bengkulu,ID,-3.8004,102.2655,82.62,69,100,3.56,overcast clouds
232,Buin,CL,-33.7333,-70.75,51.73,76,64,2.44,broken clouds
233,George,ZA,-33.963,22.4617,49.55,53,75,2.3,broken clouds
234,Rybachiy,RU,48.7073,44.7449,60.57,64,4,10.31,clear sky
235,Kinel-Cherkassy,RU,53.4706,51.4743,61.92,92,87,6.4,overcast clouds
236,Marfino,RU,55.7028,37.3822,56.95,68,0,6.71,clear sky
237,Bosaso,SO,11.2842,49.1816,90.61,39,100,19.04,overcast clouds
238,Whitecourt,CA,54.1502,-115.6855,56.44,94,100,8.05,overcast clouds
239,Surat Thani,TH,9.1667,99.25,85.98,79,20,1.14,few clouds
240,Carrollton,US,32.9537,-96.8903,93.81,40,0,10.36,clear sky
241,Chala,TZ,-7.5833,31.2667,54.66,70,20,4.76,few clouds
242,Chauk,MM,20.8833,94.8167,86.58,56,100,15.52,overcast clouds
243,Darhan,MN,49.4867,105.9228,75.31,47,6,5.21,clear sky
244,Nove Hrady,CZ,48.7896,14.7784,57.54,91,100,3.47,overcast clouds
245,Cherskiy,RU,68.75,161.3,56.41,32,67,12.12,broken clouds
246,Leningradskiy,RU,69.3833,178.4167,38.7,69,85,8.39,overcast clouds
247,Saldanha,ZA,-33.0117,17.9442,53.65,73,35,12.17,scattered clouds
248,Houma,US,29.5958,-90.7195,80.01,89,0,0.0,clear sky
249,Durazno,UY,-33.4131,-56.5006,53.24,93,99,2.64,overcast clouds
250,Gorontalo,ID,0.5412,123.0595,88.14,59,5,4.16,clear sky
251,Hinton,CA,53.4001,-117.5857,55.58,89,84,4.88,broken clouds
252,Fort Saint James,CA,54.4333,-124.25,52.88,92,100,0.69,overcast clouds
253,Carnarvon,AU,-24.8667,113.6333,73.78,75,98,13.2,overcast clouds
254,Sisimiut,GL,66.9395,-53.6735,35.37,94,100,18.01,light rain
255,Pokaran,IN,26.9167,71.9167,87.03,57,0,21.63,clear sky
256,Fort Nelson,CA,58.8053,-122.7002,58.59,82,100,5.75,overcast clouds
257,Nola,IT,40.922,14.5329,72.63,84,1,1.16,clear sky
258,Bocana De Paiwas,NI,12.7857,-85.1227,72.79,93,100,1.43,moderate rain
259,Ambilobe,MG,-13.2,49.05,68.54,92,79,3.15,broken clouds
260,Khani,GE,41.9563,42.9566,53.17,85,58,1.74,broken clouds
261,Pochutla,MX,15.7432,-96.4661,76.82,87,100,4.07,overcast clouds
262,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,19.57,scattered clouds
263,Korla,CN,41.7597,86.1469,82.44,23,100,19.66,overcast clouds
264,Constantine,DZ,36.365,6.6147,65.61,48,0,2.3,clear sky
265,Fernandez,AR,-27.9204,-63.8935,60.66,41,100,10.45,overcast clouds
266,Las Vegas,US,36.175,-115.1372,106.48,5,0,21.85,clear sky
267,Dunmore Town,BS,25.5,-76.65,81.0,72,100,4.21,overcast clouds
268,Bayshore Gardens,US,27.4253,-82.5904,85.98,74,0,3.44,clear sky
269,Tarko-Sale,RU,64.9225,77.785,62.78,68,41,20.09,scattered clouds
270,Constitucion,CL,-35.3333,-72.4167,48.36,83,71,7.67,broken clouds
271,Kristianstad,SE,56.0313,14.1524,53.74,91,43,5.75,scattered clouds
272,Lata,PT,40.1629,-8.3327,62.08,97,33,1.14,scattered clouds
273,Cruz Grande,MX,16.7333,-99.1333,74.82,88,100,2.21,overcast clouds
274,Soyo,AO,-6.1349,12.3689,71.83,83,96,5.28,overcast clouds
275,Naze,JP,28.3667,129.4833,74.32,93,100,2.59,moderate rain
276,Rincon,US,32.296,-81.2354,81.86,81,75,6.91,broken clouds
277,Haines Junction,CA,60.7522,-137.5108,71.55,26,98,1.14,overcast clouds
278,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,4,8.34,clear sky
279,Torring,DK,55.85,9.4833,53.71,93,69,6.49,broken clouds
280,Altay,CN,47.8667,88.1167,68.67,35,82,10.58,broken clouds
281,Terney,RU,45.0503,136.6092,63.18,73,95,6.22,overcast clouds
282,Chanika,TZ,-5.4167,38.0167,63.68,98,76,2.86,broken clouds
283,Raga,SS,8.4596,25.678,69.58,87,58,3.98,broken clouds
284,Nemuro,JP,43.3236,145.575,54.72,96,89,4.81,overcast clouds
285,Oum Hadjer,TD,13.2954,19.6966,87.69,39,81,11.16,broken clouds
286,Chynov,CZ,49.4068,14.8112,57.13,88,100,4.52,overcast clouds
287,Veraval,IN,20.9,70.3667,84.69,76,87,11.59,overcast clouds
288,Lompoc,US,34.6391,-120.4579,68.56,73,0,28.01,clear sky
289,Sangin,AF,32.0728,64.8359,90.32,14,0,19.24,clear sky
290,Skibbereen,IE,51.55,-9.2667,60.12,97,81,7.92,broken clouds
291,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,60,20,27.63,few clouds
292,Crib Point,AU,-38.35,145.2,58.24,83,100,9.15,overcast clouds
293,Dzhebariki-Khaya,RU,62.2167,135.8,71.64,44,90,0.81,overcast clouds
294,Awjilah,LY,29.1081,21.2869,76.21,45,0,11.07,clear sky
295,Carutapera,BR,-1.195,-46.02,73.49,93,13,4.05,few clouds
296,Quatre Cocos,MU,-20.2078,57.7625,69.1,71,3,8.46,clear sky
297,Naryan-Mar,RU,67.6713,53.087,57.85,77,100,14.25,overcast clouds
298,Vaitape,PF,-16.5167,-151.75,80.22,72,2,14.58,clear sky
299,Broken Hill,AU,-31.95,141.4333,58.84,45,62,8.5,broken clouds
300,Torbat-E Jam,IR,35.244,60.6225,82.2,26,5,19.48,clear sky
301,Yulara,AU,-25.2406,130.9889,69.93,31,52,7.85,broken clouds
302,Srednekolymsk,RU,67.45,153.6833,66.92,19,9,9.93,clear sky
303,Eydhafushi,MV,5.1033,73.0708,83.1,75,91,10.31,overcast clouds
304,Beringovskiy,RU,63.05,179.3167,46.71,71,13,5.57,few clouds
305,Mbuji-Mayi,CD,-6.15,23.6,70.23,45,2,4.29,clear sky
306,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.32,76,0,8.55,clear sky
307,Talnakh,RU,69.4865,88.3972,54.21,88,100,6.67,light rain
308,Antofagasta,CL,-23.65,-70.4,56.48,80,9,4.65,clear sky
309,College,US,64.8569,-147.8028,72.59,50,75,10.36,broken clouds
310,Ketchikan,US,55.3422,-131.6461,57.0,76,35,9.93,scattered clouds
311,Noshiro,JP,40.2039,140.0242,68.83,96,93,9.1,overcast clouds
312,Benghazi,LY,32.1167,20.0667,73.94,77,0,9.75,clear sky
313,Wanning,CN,18.8003,110.3967,87.51,72,78,16.17,broken clouds
314,Myitkyina,MM,25.3833,97.4,72.91,100,100,1.3,overcast clouds
315,Saint-Francois,FR,46.4154,3.9054,58.68,100,0,2.3,clear sky
316,Oistins,BB,13.0667,-59.5333,80.69,78,40,19.57,scattered clouds
317,Poum,NC,-20.2333,164.0167,79.11,79,100,15.7,overcast clouds
318,Chipinge,ZW,-20.1883,32.6236,48.38,84,22,3.85,few clouds
319,Las Lomas,PA,8.4333,-82.4,78.21,83,40,4.61,scattered clouds
320,Harboore,DK,56.6175,8.1807,53.19,87,85,9.15,overcast clouds
321,Airai,TL,-8.9266,125.4092,70.79,64,40,4.59,scattered clouds
322,Torbay,CA,47.6666,-52.7314,49.28,84,0,5.01,clear sky
323,Shelburne,CA,44.0787,-80.2041,77.45,42,0,20.6,clear sky
324,Ornskoldsvik,SE,63.2909,18.7153,49.91,76,7,1.48,clear sky
325,Zhigansk,RU,66.7697,123.3711,57.96,45,3,18.59,clear sky
326,Codrington,AU,-38.2667,141.9667,58.19,73,100,6.53,overcast clouds
327,Maragogi,BR,-9.0122,-35.2225,73.83,87,100,8.25,overcast clouds
328,Hay River,CA,60.8156,-115.7999,51.78,66,75,5.75,broken clouds
329,Upata,VE,8.0086,-62.3989,77.2,95,13,3.62,few clouds
330,Ouahigouya,BF,13.5828,-2.4216,79.95,59,89,7.72,overcast clouds
331,Mumford,GH,5.2618,-0.759,75.2,89,100,8.23,moderate rain
332,Tuatapere,NZ,-46.1333,167.6833,46.87,74,7,1.25,clear sky
333,Panguna,PG,-6.3164,155.4848,81.72,57,100,4.03,overcast clouds
334,Aracati,BR,-4.5617,-37.7697,73.0,83,14,5.86,few clouds
335,Kouroussa,GN,10.65,-9.8833,70.23,95,100,2.44,overcast clouds
336,Severo-Kurilsk,RU,50.6789,156.125,51.8,75,93,4.36,overcast clouds
337,Usvyaty,RU,55.7456,30.7533,52.9,89,100,4.7,overcast clouds
338,The Valley,AI,18.217,-63.0578,82.81,79,100,13.02,overcast clouds
339,Luau,AO,-10.7073,22.2247,54.27,46,48,4.83,scattered clouds
340,Celestun,MX,20.8667,-90.4,78.78,80,27,14.52,scattered clouds
341,Launceston,AU,-41.45,147.1667,54.34,81,75,6.91,light rain
342,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,67,0,13.42,clear sky
343,Haveli,PK,30.4502,73.6989,97.05,36,0,11.63,clear sky
344,Sambava,MG,-14.2667,50.1667,67.44,87,12,4.41,few clouds
